Date,TweetsURL,Users,Source,Location,Tweets,Likes Count,Retweet Count,Tweet Quote_Count,Tweet Reply_Count
2022-09-24 00:30:52+00:00,https://twitter.com/annyB85383901/status/1573469985220984853,annyB85383901,Twitter for Android,,@blahbiddiboop @AllaboutGroophy @BBNaija Ohhhh okay I had to rewatch,0,0,0,1
2022-09-24 00:30:45+00:00,https://twitter.com/steves_jay/status/1573469955537895432,steves_jay,Twitter for Android,,"@KumzMedia @world_eazy @BBNaija @DStvNg A whioe Adekunle that beat your fav black and blue to become the Supakomando man! Go and hide your face and that of your fav, tell him he no reach.",0,0,0,1
2022-09-24 00:30:44+00:00,https://twitter.com/Kingpat17437382/status/1573469949644898318,Kingpat17437382,Twitter for Android,,"@AllaboutGroophy @BBNaija Green or no green..phyna shouldn't have bitten him...too much rough play no too good sometimes...and moreover, what's with the green",2,0,0,1
2022-09-24 00:30:39+00:00,https://twitter.com/SONIALLISON990/status/1573469930313351199,SONIALLISON990,Twitter for iPhone,,@Owokintan1 @Tee_Classiquem1 @BBNaija You’re just running from one place to another please what content does Her@es add to the show?,0,0,0,0
2022-09-24 00:30:37+00:00,https://twitter.com/owoupelek/status/1573469919768870932,owoupelek,Twitter for Android,Nigeria,This pensioner and information na 5&amp;6.#bbnaija,0,0,0,0
2022-09-24 00:30:29+00:00,https://twitter.com/GOLD_Linee/status/1573469889104314386,GOLD_Linee,Twitter for Android,,"@its__Ajoke @okeowoabiodun5 @BBNaija C'mon getaat u fuuuul, wit dat ur stuped dirty fav pigna dat's always fighting wit water",0,0,0,0
2022-09-24 00:30:27+00:00,https://twitter.com/Excel_Oly/status/1573469880849924125,Excel_Oly,Twitter for Android,,"I love you to death🥴, dumb yoo🤦#BBNaija",0,0,0,0
2022-09-24 00:30:24+00:00,https://twitter.com/its__moi___/status/1573469868036325378,its__moi___,Twitter for Android,Violence Kingdom,"@KumzMedia @world_eazy @BBNaija @DStvNg Apparently, you care cause here you are",0,0,0,0
2022-09-24 00:30:22+00:00,https://twitter.com/Ugonnaya26/status/1573469856229359623,Ugonnaya26,Twitter for Android,World 🌎,"This is really lovely to watch. I guess I'm a lover of beautiful things. 😀
#BBNaija https://t.co/d7hfT7OnHS",5,0,0,0
2022-09-24 00:30:15+00:00,https://twitter.com/__DiamondStorms/status/1573469828505010239,__DiamondStorms,Twitter for iPhone,"Abuja, Nigeria",Bryann withdrew and that sort of killed his energy and vibes cause people were starting to say things like “he was doing too much” esp Amaka. That is why I get pissed when those who didn’t watch him in level 2 have the audacity to say he is boring. #bbnaija,33,7,0,0
2022-09-24 00:30:11+00:00,https://twitter.com/Proton_only/status/1573469812549877771,Proton_only,Twitter for Android,NFT,@Mecuswhite @BBNaija Biting someone isn't entertainment,0,0,0,2
2022-09-24 00:30:06+00:00,https://twitter.com/SONIALLISON990/status/1573469791821627398,SONIALLISON990,Twitter for iPhone,,@Mima18443833 @Beautytukura___ @BBNaija But they lost it na 🙄,0,0,0,0
2022-09-24 00:30:03+00:00,https://twitter.com/Bella25300260/status/1573469777959452678,Bella25300260,Twitter for Android,,"Radio Host: Shegzz Do you think you were abusive to Bella in your relationship?
Shegzz; You know what yeah? Bella can be rude yeah... she is so rude yeah, I fuuuul like she deserved it. #Bbnaija https://t.co/cz0VpaH1Jl",8,0,1,2
2022-09-24 00:29:34+00:00,https://twitter.com/BadBoyKelani/status/1573469658136576017,BadBoyKelani,Twitter Web App,"Staten Island , NY ",Iconic #bb24 #bbnaija https://t.co/8jyxSNHNqL,3,0,0,0
2022-09-24 00:29:30+00:00,https://twitter.com/VirginHoelite/status/1573469639920713735,VirginHoelite,Twitter for iPhone,"Chicago, IL","If we’re being honest, most people  will tune in for Shege’s media rounds…. 

#bbnaija",10,2,0,3
2022-09-24 00:29:26+00:00,https://twitter.com/AnnieMandiko/status/1573469623038758912,AnnieMandiko,Twitter for Android,"Lusaka, Zambia",Bryann giving content this time that's why my boy gets tired and sleeps during the day to leave it to others but still his sleep still turns to content...A clear fav #BBNaija https://t.co/KMm4lAsmJ8,27,7,0,0
2022-09-24 00:29:23+00:00,https://twitter.com/rhukkey_2/status/1573469611806294030,rhukkey_2,Twitter Web App,,"The same Quidax game of 1907 🫣
Chisos…

#bbnaija https://t.co/mdCCBhdJaJ",4,0,0,1
2022-09-24 00:29:23+00:00,https://twitter.com/Ifybabe54577259/status/1573469609453289487,Ifybabe54577259,Twitter for Android,,@annyB85383901 @AllaboutGroophy @BBNaija So you didn't hear when Rechal went to the other room to beg her that Groovy have changed to the green? cuddle and  smooch kill you there,1,0,0,0
2022-09-24 00:29:22+00:00,https://twitter.com/Shariebeeh1/status/1573469608048197652,Shariebeeh1,Twitter Web App,,"@bae_joycey @DaniellaUPeters That doesn’t mean u should pray for Adekunle to leave it’s not ryt 
Let’s hype Daniella and Bryann’s friendship instead and spread positivity are y’all not tired of the negativity flying around #BBNaija",6,0,0,1
2022-09-24 00:29:17+00:00,https://twitter.com/staph01/status/1573469587357696019,staph01,Twitter for Android,,@annyB85383901 @AllaboutGroophy @BBNaija What kind of lie is this,0,0,0,0
2022-09-24 00:29:17+00:00,https://twitter.com/Mecuswhite/status/1573469586783076367,Mecuswhite,Twitter for iPhone,worldwide,Take me back to Phyna and Groovy pls!!! Are you ppl not entertained?? 😢 @BBNaija #BBNaija,27,0,0,2
2022-09-24 00:29:14+00:00,https://twitter.com/naa_djay/status/1573469572652466193,naa_djay,Twitter for iPhone,🇬🇭,I love Bryann’s confidence now🔥🔥#BBNaija,28,6,0,0
2022-09-24 00:29:05+00:00,https://twitter.com/worthy1_og/status/1573469535394463767,worthy1_og,Twitter Web App,UK,"The ships in BBN this year are uniquely diff from any other season 🤣🤣🤣🤤😅😅😂
Everybody just stan your faves or ship in peace, no need to tight chest cause the heart palpitations...😆
#bbnaija",19,5,0,0
2022-09-24 00:29:03+00:00,https://twitter.com/k_u_n_m_ii/status/1573469524929675264,k_u_n_m_ii,Twitter for Android,"Jos, Nigeria",@KumzMedia @world_eazy @BBNaija @DStvNg His type should be in a game like squid game where his massive talents will be fully appreciated without insults.,0,0,0,0
2022-09-24 00:28:57+00:00,https://twitter.com/Siobhann_Boyd/status/1573469503618416649,Siobhann_Boyd,Twitter for iPhone,"Los Angeles, California ",I’m tired of this finale analogy in the garden…..we were kissing passionately just now and some pillow talk in the bedroom…. 🤦🏼‍♀️🙄 😊 #BBNaija,11,1,0,1
2022-09-24 00:28:56+00:00,https://twitter.com/KanyesigyePros2/status/1573469498585251841,KanyesigyePros2,Twitter for iPhone,"Kampala, Uganda",So Shella kingdom has come to an end or we wait for the make up #bbnaija,0,0,0,0
2022-09-24 00:28:55+00:00,https://twitter.com/user2052000/status/1573469494634217487,user2052000,Twitter for iPhone,,You people don’t know how the game works stop over analysing #BBNaija,3,0,0,0
2022-09-24 00:28:47+00:00,https://twitter.com/ChizValentine1/status/1573469460572274688,ChizValentine1,Twitter for Android,CHASING DREAMS ,"Show me a better song preparation task in big brother naija history

Bryann will blow after this show 🙏 #bbnaija 
Copyright @BBNaija https://t.co/1maWIfQFHN",31,9,0,0
